n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.12,25.0,3
3,0.24,25.0,6
4,0.36,25.0,9
5,0.4,25.0,10
6,0.68,25.0,17
7,0.96,25.0,24
8,1.24,25.0,31
9,1.28,25.0,32
10,5.48,25.0,137
11,9.68,25.0,242
12,13.88,25.0,347
13,13.92,25.0,348
14,14.68,25.0,367
15,15.44,25.0,386
16,16.24,25.0,406
17,16.28,25.0,407
18,16.76,25.0,419
19,17.28,25.0,432
20,17.8,25.0,445
21,17.84,25.0,446
22,18.36,25.0,459
23,18.88,25.0,472
24,19.44,25.0,486
25,19.48,25.0,487
26,20.48,25.0,512
27,21.52,25.0,538
28,22.56,25.0,564
29,22.6,25.0,565
30,22.96,25.0,574
31,23.36,25.0,584
32,23.76,25.0,594
33,23.8,25.0,595
34,24.28,25.0,607
35,24.76,25.0,619
36,25.24,25.0,631
37,25.28,25.0,632
38,25.68,25.0,642
39,26.08,25.0,652
40,26.52,25.0,663
41,26.56,25.0,664
42,27.04,25.0,676
43,27.52,25.0,688
44,28.0,25.0,700
45,28.04,25.0,701
46,28.52,25.0,713
47,29.04,25.0,726
48,29.56,25.0,739
49,29.6,25.0,740
50,30.16,25.0,754
51,30.72,25.0,768
52,31.28,25.0,782
53,31.32,25.0,783
54,31.96,25.0,799
55,32.6,25.0,815
56,33.28,25.0,832
57,33.32,25.0,833
58,39.0,25.0,975
59,44.68,25.0,1117
60,50.36,25.0,1259
61,50.4,25.0,1260
62,51.2,25.0,1280
63,52.0,25.0,1300
64,52.84,25.0,1321
65,52.88,25.0,1322
66,53.76,25.0,1344
67,54.64,25.0,1366
68,55.56,25.0,1389
69,55.6,25.0,1390
70,56.28,25.0,1407
71,57.0,25.0,1425
72,57.72,25.0,1443
73,57.76,25.0,1444
74,58.48,25.0,1462
75,59.2,25.0,1480
76,59.92,25.0,1498
77,59.96,25.0,1499
78,60.6,25.0,1515
79,61.28,25.0,1532
80,61.96,25.0,1549
81,62.0,25.0,1550
82,62.6,25.0,1565
83,63.2,25.0,1580
84,63.8,25.0,1595
85,63.84,25.0,1596
86,65.36,25.0,1634
87,66.92,25.0,1673
88,68.48,25.0,1712
89,68.52,25.0,1713
90,69.56,25.0,1739
91,70.6,25.0,1765
92,71.64,25.0,1791
93,71.68,25.0,1792
94,72.28,25.0,1807
95,72.92,25.0,1823
96,73.56,25.0,1839
97,73.6,25.0,1840
98,74.24,25.0,1856
99,74.88,25.0,1872
100,75.52,25.0,1888
101,75.56,25.0,1889
102,76.44,25.0,1911
103,77.32,25.0,1933
104,78.24,25.0,1956
105,78.28,25.0,1957
106,80.32,25.0,2008
107,82.36,25.0,2059
108,84.4,25.0,2110
109,84.44,25.0,2111
110,86.24,25.0,2156
111,88.04,25.0,2201
112,89.88,25.0,2247
113,89.92,25.0,2248
114,90.56,25.0,2264
115,91.24,25.0,2281
116,91.92,25.0,2298
117,91.96,25.0,2299
118,92.92,25.0,2323
119,93.88,25.0,2347
120,94.84,25.0,2371
121,94.88,25.0,2372
122,95.84,25.0,2396
123,96.8,25.0,2420
124,97.8,25.0,2445
125,97.84,25.0,2446
126,98.72,25.0,2468
127,99.6,25.0,2490
128,100.48,25.0,2512
129,100.52,25.0,2513
130,101.32,25.0,2533
131,102.12,25.0,2553
132,102.92,25.0,2573
133,102.96,25.0,2574
134,111.12,25.0,2778
135,119.28,25.0,2982
136,127.44,25.0,3186
137,127.48,25.0,3187
138,129.32,25.0,3233
139,131.16,25.0,3279
140,133.04,25.0,3326
141,133.08,25.0,3327
142,134.72,25.0,3368
